season,team,final_rank,champion,runner_up,source
1,Team NXL,1,1,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,EVOS Esports,2,0,1,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,RRQ.O2,3,0,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,Bigetron Player Kill,4,0,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,Team Rev Indo,5-6,0,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,Elite 8 Critical Reborn,5-6,0,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,Louvre Esports,7-8,0,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,Saints Indo 2,7-8,0,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,Pandora Esports,9-10,0,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
1,Domino's Hunters,9-10,0,0,https://www.esportsearnings.com/tournaments/53507-mpl-indonesia-season-1
