season,team_id,team_name,source
1,NXL,Team NXL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,EVOS,EVOS Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,RRQ,RRQ.O2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,BTR,Bigetron Player Kill,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,REV,Team Rev Indo,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,E8,Elite 8 Critical Reborn,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,LVR,Louvre Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,STJ,Saints Indo 2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,PES,Pandora Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
1,DH,Domino's Hunters,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_1
