season,team,final_rank,champion,runner_up,source
17,Bigetron by Vitality,1,1,0,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
17,ONIC,2,0,1,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
17,Geek Fam,3,0,0,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
17,Team Liquid ID,4,0,0,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
17,Dewa United Esports,5-6,0,0,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
17,EVOS,5-6,0,0,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
17,Alter Ego Esports,7,0,0,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
17,NAVI,8,0,0,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
17,RRQ Hoshi,9,0,0,https://id-mpl.com/s17/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-17
