season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
17,S17-RS-001,1,2026-03-27,Bigetron by Vitality,Alter Ego Esports,NULL,NULL,https://id-mpl.com/s17/en/team/btr | https://id-mpl.com/s17/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-001,2,2026-03-27,Bigetron by Vitality,Alter Ego Esports,NULL,NULL,https://id-mpl.com/s17/en/team/btr | https://id-mpl.com/s17/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-001,3,2026-03-27,Bigetron by Vitality,Alter Ego Esports,NULL,NULL,https://id-mpl.com/s17/en/team/btr | https://id-mpl.com/s17/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-002,1,2026-03-27,NAVI,RRQ Hoshi,NAVI,NULL,https://id-mpl.com/s17/en/team/navi | https://id-mpl.com/s17/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-002,2,2026-03-27,NAVI,RRQ Hoshi,NAVI,NULL,https://id-mpl.com/s17/en/team/navi | https://id-mpl.com/s17/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-003,1,2026-03-28,EVOS,Geek Fam,EVOS,NULL,https://id-mpl.com/s17/en/team/evos | https://id-mpl.com/s17/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-003,2,2026-03-28,EVOS,Geek Fam,EVOS,NULL,https://id-mpl.com/s17/en/team/evos | https://id-mpl.com/s17/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-004,1,2026-03-28,Alter Ego Esports,ONIC,ONIC,NULL,https://id-mpl.com/s17/en/team/ae | https://id-mpl.com/s17/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-004,2,2026-03-28,Alter Ego Esports,ONIC,ONIC,NULL,https://id-mpl.com/s17/en/team/ae | https://id-mpl.com/s17/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
17,S17-RS-005,1,2026-03-28,Team Liquid ID,NAVI,NULL,NULL,https://id-mpl.com/s17/en/team/tlid | https://id-mpl.com/s17/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17/Statistics
