season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
17,Regular Season,1,2026-03-27,S17-RS-001,Bigetron by Vitality,Alter Ego Esports,2,1,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/btr | https://id-mpl.com/s17/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,1,2026-03-27,S17-RS-002,NAVI,RRQ Hoshi,2,0,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/navi | https://id-mpl.com/s17/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,1,2026-03-28,S17-RS-003,EVOS,Geek Fam,2,0,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/evos | https://id-mpl.com/s17/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,1,2026-03-28,S17-RS-004,Alter Ego Esports,ONIC,0,2,team_b,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/ae | https://id-mpl.com/s17/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,1,2026-03-28,S17-RS-005,Team Liquid ID,NAVI,2,1,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/tlid | https://id-mpl.com/s17/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,1,2026-03-29,S17-RS-006,Dewa United Esports,Bigetron by Vitality,2,0,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/dewa | https://id-mpl.com/s17/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,1,2026-03-29,S17-RS-007,EVOS,Team Liquid ID,0,2,team_b,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/evos | https://id-mpl.com/s17/en/team/tlid | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,1,2026-03-29,S17-RS-008,RRQ Hoshi,ONIC,0,2,team_b,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/rrq | https://id-mpl.com/s17/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,2,2026-04-03,S17-RS-009,ONIC,Geek Fam,2,0,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/onic | https://id-mpl.com/s17/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,2,2026-04-03,S17-RS-010,Dewa United Esports,NAVI,2,0,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/dewa | https://id-mpl.com/s17/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,2,2026-04-04,S17-RS-011,Geek Fam,Bigetron by Vitality,2,0,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/geek | https://id-mpl.com/s17/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,2,2026-04-04,S17-RS-012,Alter Ego Esports,EVOS,2,1,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/ae | https://id-mpl.com/s17/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,2,2026-04-04,S17-RS-013,Team Liquid ID,Dewa United Esports,2,1,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/tlid | https://id-mpl.com/s17/en/team/dewa | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,2,2026-04-05,S17-RS-014,NAVI,Alter Ego Esports,1,2,team_b,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/navi | https://id-mpl.com/s17/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,2,2026-04-05,S17-RS-015,RRQ Hoshi,Team Liquid ID,0,2,team_b,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/rrq | https://id-mpl.com/s17/en/team/tlid | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,2,2026-04-05,S17-RS-016,Bigetron by Vitality,EVOS,2,1,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/btr | https://id-mpl.com/s17/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
17,Regular Season,3,2026-04-10,S17-RS-017,ONIC,Dewa United Esports,2,1,team_a,3,NULL,https://id-mpl.com/s17/en/history | https://id-mpl.com/s17/en/team/onic | https://id-mpl.com/s17/en/team/dewa | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_17
