season,team,player,role,status,source
17,Alter Ego Esports,YAZUKEE,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/ae
17,Alter Ego Esports,ARFY,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/ae
17,Alter Ego Esports,ALEKK,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/ae
17,Alter Ego Esports,HIJUMEE,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/ae
17,Alter Ego Esports,CYRUZ,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/ae
17,Alter Ego Esports,REYY,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/ae
17,Alter Ego Esports,NINO,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/ae
17,Bigetron by Vitality,EMANNN,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/btr
17,Bigetron by Vitality,NNAEL,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/btr
17,Bigetron by Vitality,MORENOOO,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/btr
17,Bigetron by Vitality,FINN,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/btr
17,Bigetron by Vitality,SHOGUN,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/btr
17,Bigetron by Vitality,CLIVEEE,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/btr
17,Bigetron by Vitality,RYZAA,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/btr
17,Bigetron by Vitality,LYNCH,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/btr
17,Dewa United Esports,OCTA,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/dewa
17,Dewa United Esports,QINN,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/dewa
17,Dewa United Esports,MUEZZA,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/dewa
17,Dewa United Esports,MAYBEEE,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/dewa
17,Dewa United Esports,KESU,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/dewa
17,Dewa United Esports,DOLYNN,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/dewa
17,Dewa United Esports,Kayn,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/dewa
17,EVOS,LUKE,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/evos
17,EVOS,ALBERTTT,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/evos
17,EVOS,KYY,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/evos
17,EVOS,ERLAN,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/evos
17,EVOS,TREACKY,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/evos
17,EVOS,EGATZY,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/evos
17,EVOS,VELL,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/evos
17,EVOS,Pheww,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/evos
17,Geek Fam,BALOYSKIE,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/geek
17,Geek Fam,KENNZYYSKIE,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/geek
17,Geek Fam,ABOY,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/geek
17,Geek Fam,MARCEL,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/geek
17,Geek Fam,ASUNE,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/geek
17,Geek Fam,Ye3,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/geek
17,Geek Fam,Nazara,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/geek
17,NAVI,UK1R,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/navi
17,NAVI,ANDORYUUU,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/navi
17,NAVI,KARSS,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/navi
17,NAVI,XMAGIC,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/navi
17,NAVI,APRHO,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/navi
17,NAVI,XYVE,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/navi
17,NAVI,Han,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/navi
17,ONIC,SANZ,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/onic
17,ONIC,KELRA,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/onic
17,ONIC,LUTPI,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/onic
17,ONIC,KIBOY,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/onic
17,ONIC,KAIRI,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/onic
17,ONIC,SSAMUEL,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/onic
17,RRQ Hoshi,SUPERTOYY,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/rrq
17,RRQ Hoshi,IDOK,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/rrq
17,RRQ Hoshi,SUPERKENN,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/rrq
17,RRQ Hoshi,RINZ,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/rrq
17,RRQ Hoshi,KUROKY,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/rrq
17,RRQ Hoshi,SUPERDANN,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/rrq
17,RRQ Hoshi,YEHEZKIEL,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/rrq
17,Team Liquid ID,Aran,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/tlid
17,Team Liquid ID,KYOUU,Gold Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/tlid
17,Team Liquid ID,LYONI,Roamer,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/tlid
17,Team Liquid ID,KEVINNN,Jungler,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/tlid
17,Team Liquid ID,DRICHEL,Mid Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/tlid
17,Team Liquid ID,AREDLAVV,EXP Lane,ROSTERED_IN_SEASON,https://id-mpl.com/s17/en/team/tlid
