season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
9,Regular Season,1,2022-02-18,S9-RS-001,Geek Fam ID,RRQ Hoshi,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/geek | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,1,2022-02-18,S9-RS-002,Rebellion Zion,Bigetron Alpha,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/btr | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,1,2022-02-19,S9-RS-003,Alter Ego,Geek Fam ID,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/ae | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,1,2022-02-19,S9-RS-004,ONIC Esports,Rebellion Zion,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/onic | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,1,2022-02-19,S9-RS-005,Bigetron Alpha,EVOS Legends,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/btr | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,1,2022-02-20,S9-RS-006,Alter Ego,RRQ Hoshi,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/ae | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,1,2022-02-20,S9-RS-007,EVOS Legends,AURA Fire,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/evos | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,2,2022-02-25,S9-RS-008,AURA Fire,ONIC Esports,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/onic | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,2,2022-02-25,S9-RS-009,Alter Ego,Rebellion Zion,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/ae | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,2,2022-02-26,S9-RS-010,Bigetron Alpha,AURA Fire,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/btr | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,2,2022-02-26,S9-RS-011,Geek Fam ID,EVOS Legends,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/geek | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,2,2022-02-26,S9-RS-012,ONIC Esports,RRQ Hoshi,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/onic | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,2,2022-02-27,S9-RS-013,Geek Fam ID,Rebellion Zion,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/geek | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,2,2022-02-27,S9-RS-014,Bigetron Alpha,RRQ Hoshi,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/btr | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,3,2022-03-04,S9-RS-015,AURA Fire,Alter Ego,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/ae | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,3,2022-03-04,S9-RS-016,EVOS Legends,ONIC Esports,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/evos | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,3,2022-03-05,S9-RS-017,Rebellion Zion,AURA Fire,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,3,2022-03-05,S9-RS-018,Bigetron Alpha,Alter Ego,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/btr | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,3,2022-03-05,S9-RS-019,RRQ Hoshi,EVOS Legends,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/rrq | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,3,2022-03-06,S9-RS-020,Geek Fam ID,ONIC Esports,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/geek | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,3,2022-03-06,S9-RS-021,RRQ Hoshi,Rebellion Zion,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/rrq | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,4,2022-03-11,S9-RS-022,AURA Fire,Geek Fam ID,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/geek | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,4,2022-03-11,S9-RS-023,ONIC Esports,Bigetron Alpha,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/onic | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,4,2022-03-12,S9-RS-024,AURA Fire,RRQ Hoshi,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/rrq | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,4,2022-03-12,S9-RS-025,Geek Fam ID,Bigetron Alpha,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/geek | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
9,Regular Season,4,2022-03-12,S9-RS-026,EVOS Legends,Alter Ego,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_9/Regular_Season | https://id-mpl.com/s9/team/evos | https://www.oneesports.gg/mobile-legends/mpl-id-season-9-schedule-results/
