season,team_id,team_name,source
2,RRQ,RRQ.O2,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,EVOS,EVOS Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,ONIC,ONIC Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,LVR,Louvre Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,AWR,Aerowolf Roxy,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,STID,Saints Indo,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,BTR,Bigetron Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,SFI,SFI Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,BOOM,Boom JR,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
2,CAP,Team Capcorn,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_2
