season,team,player,role,status,source
2,RRQ.O2,AyamJAGO,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,RRQ.O2,Instinct,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,RRQ.O2,Lemon,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,RRQ.O2,Liam,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,RRQ.O2,Tuturu,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,EVOS Esports,Emperor,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,EVOS Esports,IOS,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,EVOS Esports,JessNoLimit,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,EVOS Esports,Marsha,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,EVOS Esports,Oura,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,ONIC Esports,Antimage,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,ONIC Esports,Drian,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,ONIC Esports,Eiduart,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,ONIC Esports,Fenrir,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,ONIC Esports,Spade,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,ONIC Esports,Watt,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Louvre Esports,Donkey,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Louvre Esports,Dryst,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Louvre Esports,Kido,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Louvre Esports,Rekt,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Louvre Esports,Rmitchi,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Louvre Esports,YoR,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Aerowolf Roxy,G,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Aerowolf Roxy,Ichsan,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Aerowolf Roxy,Lian,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Aerowolf Roxy,LJ,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Aerowolf Roxy,MidGod,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Aerowolf Roxy,Rave,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Saints Indo,DayLen,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Saints Indo,Haji Kakap,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Saints Indo,Hexazor,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Saints Indo,Hinelle,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Saints Indo,Ryuk,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Saints Indo,Wizzking,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Bigetron Esports,Fabiens,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Bigetron Esports,JeeL,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Bigetron Esports,Rage,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Bigetron Esports,Vin,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Bigetron Esports,Yam,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,SFI Esports,Doyok,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,SFI Esports,Jack,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,SFI Esports,Joker,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,SFI Esports,Maverick,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,SFI Esports,RenV,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,SFI Esports,Wongcoco,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Boom JR,AxL,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Boom JR,Dec,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Boom JR,Lynx,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Boom JR,Sau,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Boom JR,Taka,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Boom JR,VYN,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Team Capcorn,Arsene,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Team Capcorn,Chester,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Team Capcorn,Js,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Team Capcorn,Raizel,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Team Capcorn,Xinnn,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
2,Team Capcorn,ZDesign,NULL,NULL,https://www.esportsearnings.com/tournaments/53508-mpl-indonesia-season-2
