season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
2,S2-RS-017,1,2018-09-28,Louvre Esports,Aerowolf Roxy,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-017,2,2018-09-28,Louvre Esports,Aerowolf Roxy,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-018,1,2018-09-29,Boom JR,Saints Indo,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-018,2,2018-09-29,Boom JR,Saints Indo,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-018,3,2018-09-29,Boom JR,Saints Indo,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-019,1,2018-09-29,ONIC Esports,Team Capcorn,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-019,2,2018-09-29,ONIC Esports,Team Capcorn,ONIC Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-020,1,2018-09-30,SFI Esports,EVOS Esports,EVOS Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-020,2,2018-09-30,SFI Esports,EVOS Esports,EVOS Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-021,1,2018-09-30,Bigetron Esports,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-021,2,2018-09-30,Bigetron Esports,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-021,3,2018-09-30,Bigetron Esports,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-022,1,2018-09-30,RRQ.O2,ONIC Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-022,2,2018-09-30,RRQ.O2,ONIC Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-022,3,2018-09-30,RRQ.O2,ONIC Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-023,1,2018-10-05,Team Capcorn,RRQ.O2,RRQ.O2,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-023,2,2018-10-05,Team Capcorn,RRQ.O2,RRQ.O2,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-024,1,2018-10-05,SFI Esports,ONIC Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-024,2,2018-10-05,SFI Esports,ONIC Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-024,3,2018-10-05,SFI Esports,ONIC Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-025,1,2018-10-06,Bigetron Esports,EVOS Esports,EVOS Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-025,2,2018-10-06,Bigetron Esports,EVOS Esports,EVOS Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-026,1,2018-10-06,Boom JR,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-026,2,2018-10-06,Boom JR,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-026,3,2018-10-06,Boom JR,Louvre Esports,NULL,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-027,1,2018-10-06,Aerowolf Roxy,SFI Esports,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-027,2,2018-10-06,Aerowolf Roxy,SFI Esports,Aerowolf Roxy,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-028,1,2018-10-07,RRQ.O2,Boom JR,RRQ.O2,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-028,2,2018-10-07,RRQ.O2,Boom JR,RRQ.O2,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
2,S2-RS-029,1,2018-10-07,Saints Indo,EVOS Esports,EVOS Esports,NULL,https://www.overclockingid.com/hasil-mpl-regular-season-2/
