season,team,final_rank,champion,runner_up,source
14,Team Liquid ID,1,1,0,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
14,RRQ Hoshi,2,0,1,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
14,Bigetron Alpha,3,0,0,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
14,Geek Fam,4,0,0,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
14,Alter Ego Esports,5-6,0,0,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
14,Fnatic ONIC,5-6,0,0,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
14,Dewa United Esports,7,0,0,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
14,Rebellion Esports,8,0,0,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
14,EVOS Glory,9,0,0,https://id-mpl.com/s14/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_14 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-14-mobile-legends
