season,team,player,role,status,source
8,ONIC Esports,Butsss,Offlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/onic | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,ONIC Esports,CW,Goldlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/onic | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,ONIC Esports,Drian,Midlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/onic | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,ONIC Esports,Kiboy,Tanker,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/onic | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,ONIC Esports,Maipan,Midlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/onic | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,ONIC Esports,SANZ,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/onic | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,ONIC Esports,Sir Ft Lans,NULL,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/onic | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,RRQ Hoshi,Alberttt,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/rrq | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,RRQ Hoshi,Clayyy,Midlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/rrq | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,RRQ Hoshi,Liam,Tanker,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/rrq | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,RRQ Hoshi,Psychoo,Tanker,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/rrq | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,RRQ Hoshi,R7,Offlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/rrq | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,RRQ Hoshi,Skylar,Goldlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/rrq | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,RRQ Hoshi,VYN,Support,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/rrq | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,RRQ Hoshi,Xinnn,Goldlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/rrq | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,EVOS Legends,Antimage,Offlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/evos | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,EVOS Legends,Ckim,NULL,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/evos | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,EVOS Legends,Clover,Goldlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/evos | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,EVOS Legends,Falah,NULL,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/evos | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
8,EVOS Legends,Ferxiic,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8 | https://id-mpl.com/s8/team/evos | https://www.esportsearnings.com/tournaments/51520-mpl-indonesia-season-8 | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-full-roster-team/
