season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
8,S8-RS-001,1,2021-08-13,Rebellion Genflix,Bigetron Alpha,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/rbg | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-001,2,2021-08-13,Rebellion Genflix,Bigetron Alpha,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/rbg | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-001,3,2021-08-13,Rebellion Genflix,Bigetron Alpha,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/rbg | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-002,1,2021-08-13,Geek Fam ID,RRQ Hoshi,RRQ Hoshi,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/geek | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-002,2,2021-08-13,Geek Fam ID,RRQ Hoshi,RRQ Hoshi,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/geek | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-003,1,2021-08-14,ONIC Esports,Rebellion Genflix,ONIC Esports,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/onic | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-003,2,2021-08-14,ONIC Esports,Rebellion Genflix,ONIC Esports,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/onic | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-004,1,2021-08-14,Alter Ego,Geek Fam ID,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/ae | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-004,2,2021-08-14,Alter Ego,Geek Fam ID,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/ae | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
8,S8-RS-004,3,2021-08-14,Alter Ego,Geek Fam ID,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_8/Regular_Season | https://id-mpl.com/s8/team/ae | https://www.oneesports.gg/mobile-legends/mpl-id-season-8-schedule-watch/
