season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
16,Regular Season,8,2025-10-12,S16-RS-063,ONIC,EVOS,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/onic | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,8,2025-10-12,S16-RS-064,NAVI,Geek Fam,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/navi | https://id-mpl.com/s16/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,9,2025-10-17,S16-RS-065,Bigetron by Vitality,Geek Fam,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/btr | https://id-mpl.com/s16/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,9,2025-10-17,S16-RS-066,Dewa United Esports,ONIC,0,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/dewa | https://id-mpl.com/s16/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,9,2025-10-18,S16-RS-067,EVOS,NAVI,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/evos | https://id-mpl.com/s16/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,9,2025-10-18,S16-RS-068,Team Liquid ID,RRQ Hoshi,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/tlid | https://id-mpl.com/s16/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,9,2025-10-18,S16-RS-069,ONIC,Alter Ego Esports,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/onic | https://id-mpl.com/s16/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,9,2025-10-19,S16-RS-070,Dewa United Esports,EVOS,2,0,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/dewa | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,9,2025-10-19,S16-RS-071,Alter Ego Esports,Bigetron by Vitality,1,2,team_b,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Regular Season,9,2025-10-19,S16-RS-072,RRQ Hoshi,NAVI,2,1,team_a,3,NULL,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/rrq | https://id-mpl.com/s16/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Playoffs,NULL,2025-10-29,S16-PO-001,Alter Ego Esports,NAVI,3,1,team_a,5,Play-Ins,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Playoffs,NULL,2025-10-29,S16-PO-002,EVOS,Dewa United Esports,3,2,team_a,5,Play-Ins,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/evos | https://id-mpl.com/s16/en/team/dewa | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Playoffs,NULL,2025-10-30,S16-PO-003,Bigetron by Vitality,Alter Ego Esports,1,3,team_b,5,Upper Bracket Semifinal,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/btr | https://id-mpl.com/s16/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Playoffs,NULL,2025-10-30,S16-PO-004,ONIC,EVOS,3,2,team_a,5,Upper Bracket Semifinal,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/onic | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Playoffs,NULL,2025-10-31,S16-PO-005,Bigetron by Vitality,EVOS,0,3,team_b,5,Lower Bracket Semifinal,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/btr | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Playoffs,NULL,2025-10-31,S16-PO-006,Alter Ego Esports,ONIC,2,3,team_b,5,Upper Bracket Final,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Playoffs,NULL,2025-11-01,S16-PO-007,Alter Ego Esports,EVOS,4,2,team_a,7,Lower Bracket Final,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/ae | https://id-mpl.com/s16/en/team/evos | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
16,Playoffs,NULL,2025-11-02,S16-PO-008,ONIC,Alter Ego Esports,4,1,team_a,7,Grand Final,https://id-mpl.com/s16/en/history | https://id-mpl.com/s16/en/team/onic | https://id-mpl.com/s16/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_16
