season,team,final_rank,champion,runner_up,source
12,ONIC Esports,1,1,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,Geek Fam ID,2,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,Bigetron Alpha,3,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,RRQ,4,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,Rebellion Zion,5-6,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,Dewa United Esports,5-6,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,EVOS Legends,7,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,Alter Ego,8,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,AURA Fire,9,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12/Playoffs | https://www.esportsearnings.com/tournaments/66311-mpl-indonesia-season-12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
