season,team_id,team_name,source
12,AE,Alter Ego,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,AURA,AURA Fire,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,BTR,Bigetron Alpha,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,DEWA,Dewa United Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,EVOS,EVOS Legends,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,GEEK,Geek Fam ID,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,ONIC,ONIC Esports,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,RBL,Rebellion Zion,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
12,RRQ,RRQ,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_12 | https://www.oneesports.gg/mobile-legends/mpl-id-season-12-schedule-results/
