season,team,player,role,status,source
10,Alter Ego,Ahmad,Goldlane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/ae
10,Alter Ego,Celiboy,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/ae
10,Alter Ego,DevKoch,Tank/Roamer,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/ae
10,Alter Ego,KidsZ,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/ae
10,Alter Ego,LeoMurphy,Roamer,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/ae
10,Alter Ego,Nino,Goldlane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/ae
10,Alter Ego,Pai,EXP Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/ae
10,Alter Ego,Udil,Midlane/Support,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/ae
10,AURA Fire,Caid,Gold Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE
10,AURA Fire,Druuu,Roamer,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE
10,AURA Fire,FACEHUGGER,Midlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE
10,AURA Fire,Fluffy,EXP Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE
10,AURA Fire,god1va,Roamer,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE
10,AURA Fire,H i g h,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE
10,AURA Fire,Kabuki,Gold Laner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE
10,Bigetron Alpha,Falah,Midlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,Bigetron Alpha,Kyy,Roamer,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,Bigetron Alpha,Markyyyyy,Gold Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,Bigetron Alpha,Matt,Gold Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,Bigetron Alpha,MAXXX,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,Bigetron Alpha,Moreno,Midlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,Bigetron Alpha,Rippo,EXP Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,Bigetron Alpha,SakeN,Goldlane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,Bigetron Alpha,Xorizo,EXP Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/btr
10,EVOS Legends,Bajan,Roamer,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,Clover,Goldlane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,Cr1te,Midlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,Dlar,EXP Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,DreamS,Roamer,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,Ferxiic,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,Pendragon,EXP Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,Saykots,EXP Lane,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,Sutsujin,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,EVOS Legends,Tazz,Jungler,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/evos
10,Geek Fam ID,Baloyskie,Roamer,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/geek
10,Geek Fam ID,Caderaa,Goldlaner,PARTICIPATED,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10 | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-full-roster-team/ | https://tirto.id/daftar-roster-dan-pemain-mpl-id-s10-rrq-evos-onic-aura-fire-guXE | https://id-mpl.com/s10/team/geek
