season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
10,S10-RS-001,1,2022-08-12,Geek Fam ID,RRQ Hoshi,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/geek
10,S10-RS-001,2,2022-08-12,Geek Fam ID,RRQ Hoshi,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/geek
10,S10-RS-001,3,2022-08-12,Geek Fam ID,RRQ Hoshi,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/geek
10,S10-RS-002,1,2022-08-12,Rebellion Zion,Bigetron Alpha,Bigetron Alpha,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/btr
10,S10-RS-002,2,2022-08-12,Rebellion Zion,Bigetron Alpha,Bigetron Alpha,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/btr
10,S10-RS-003,1,2022-08-13,Alter Ego,Geek Fam ID,Alter Ego,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/ae
10,S10-RS-003,2,2022-08-13,Alter Ego,Geek Fam ID,Alter Ego,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/ae
10,S10-RS-004,1,2022-08-13,ONIC Esports,Rebellion Zion,ONIC Esports,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/onic
10,S10-RS-004,2,2022-08-13,ONIC Esports,Rebellion Zion,ONIC Esports,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/onic
10,S10-RS-005,1,2022-08-13,Bigetron Alpha,EVOS Legends,EVOS Legends,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/btr
10,S10-RS-005,2,2022-08-13,Bigetron Alpha,EVOS Legends,EVOS Legends,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/btr
10,S10-RS-006,1,2022-08-14,Alter Ego,RRQ Hoshi,RRQ Hoshi,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/ae
10,S10-RS-006,2,2022-08-14,Alter Ego,RRQ Hoshi,RRQ Hoshi,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/ae
10,S10-RS-007,1,2022-08-14,EVOS Legends,AURA Fire,AURA Fire,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/evos
10,S10-RS-007,2,2022-08-14,EVOS Legends,AURA Fire,AURA Fire,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/evos
10,S10-RS-008,1,2022-08-19,AURA Fire,ONIC Esports,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_10/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-10-schedule-results/ | https://id-mpl.com/s10/team/onic
