season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
5,Regular Season,1,2020-02-07,S5-RS-001,Bigetron Alpha,Alter Ego,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/btr
5,Regular Season,1,2020-02-07,S5-RS-002,AURA Fire,ONIC Esports,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/onic
5,Regular Season,1,2020-02-08,S5-RS-003,ONIC Esports,Bigetron Alpha,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/onic
5,Regular Season,1,2020-02-08,S5-RS-004,EVOS Legends,RRQ Hoshi,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/evos
5,Regular Season,1,2020-02-08,S5-RS-005,Geek Fam ID,Alter Ego,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/geek
5,Regular Season,1,2020-02-09,S5-RS-006,AURA Fire,Aerowolf Pro Team,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/gflx
5,Regular Season,1,2020-02-09,S5-RS-007,RRQ Hoshi,Geek Fam ID,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/rrq
5,Regular Season,2,2020-02-14,S5-RS-008,AURA Fire,Geek Fam ID,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/geek
5,Regular Season,2,2020-02-14,S5-RS-009,Bigetron Alpha,Aerowolf Pro Team,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/btr
5,Regular Season,2,2020-02-15,S5-RS-010,Bigetron Alpha,AURA Fire,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/btr
5,Regular Season,2,2020-02-15,S5-RS-011,Alter Ego,EVOS Legends,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/ae
5,Regular Season,2,2020-02-15,S5-RS-012,Aerowolf Pro Team,RRQ Hoshi,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/gflx
5,Regular Season,2,2020-02-16,S5-RS-013,EVOS Legends,ONIC Esports,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/evos
5,Regular Season,2,2020-02-16,S5-RS-014,RRQ Hoshi,Alter Ego,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/rrq
5,Regular Season,3,2020-02-21,S5-RS-015,AURA Fire,RRQ Hoshi,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/rrq
5,Regular Season,3,2020-02-21,S5-RS-016,ONIC Esports,Geek Fam ID,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/onic
5,Regular Season,3,2020-02-22,S5-RS-017,Aerowolf Pro Team,EVOS Legends,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/gflx
5,Regular Season,3,2020-02-22,S5-RS-018,Alter Ego,ONIC Esports,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/ae
5,Regular Season,3,2020-02-22,S5-RS-019,Geek Fam ID,Bigetron Alpha,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/geek
5,Regular Season,3,2020-02-23,S5-RS-020,Aerowolf Pro Team,Alter Ego,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/gflx
5,Regular Season,3,2020-02-23,S5-RS-021,EVOS Legends,AURA Fire,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/evos
5,Regular Season,4,2020-02-28,S5-RS-022,Geek Fam ID,EVOS Legends,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/geek
5,Regular Season,4,2020-02-28,S5-RS-023,RRQ Hoshi,Bigetron Alpha,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/rrq
5,Regular Season,4,2020-02-29,S5-RS-024,Bigetron Alpha,EVOS Legends,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/btr
5,Regular Season,4,2020-02-29,S5-RS-025,Aerowolf Pro Team,ONIC Esports,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/gflx
5,Regular Season,4,2020-02-29,S5-RS-026,Alter Ego,AURA Fire,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/ae
5,Regular Season,4,2020-03-01,S5-RS-027,ONIC Esports,RRQ Hoshi,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/onic
5,Regular Season,4,2020-03-01,S5-RS-028,Geek Fam ID,Aerowolf Pro Team,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/geek
5,Regular Season,5,2020-03-06,S5-RS-029,Aerowolf Pro Team,AURA Fire,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/gflx
5,Regular Season,5,2020-03-06,S5-RS-030,ONIC Esports,Alter Ego,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/onic
5,Regular Season,5,2020-03-07,S5-RS-031,Geek Fam ID,ONIC Esports,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_5/Regular_Season | https://id-mpl.com/s5/team/geek
