season,team,final_rank,champion,runner_up,source
13,Fnatic ONIC,1,1,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
13,EVOS Glory,2,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
13,Geek Fam,3,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
13,Bigetron Alpha,4,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
13,Liquid AURA,5-6,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
13,RRQ Hoshi,5-6,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
13,Rebellion Esports,7,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
13,Alter Ego Esports,8,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
13,Dewa United Esports,9,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://en.wikipedia.org/wiki/MPL_Indonesia | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-13-mobile-legends
