season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
13,S13-RS-001,1,2024-03-08,Alter Ego Esports,EVOS Glory,Alter Ego Esports,14.33,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,2,2024-03-08,Alter Ego Esports,EVOS Glory,Alter Ego Esports,17.67,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-002,1,2024-03-08,Dewa United Esports,Rebellion Esports,Dewa United Esports,17.6,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-002,2,2024-03-08,Dewa United Esports,Rebellion Esports,Dewa United Esports,20.33,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-003,1,2024-03-09,Geek Fam,Bigetron Alpha,Bigetron Alpha,17.75,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-003,2,2024-03-09,Geek Fam,Bigetron Alpha,Bigetron Alpha,16.17,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-004,1,2024-03-09,Rebellion Esports,Alter Ego Esports,Alter Ego Esports,26.62,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-004,2,2024-03-09,Rebellion Esports,Alter Ego Esports,Rebellion Esports,16.43,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-004,3,2024-03-09,Rebellion Esports,Alter Ego Esports,Alter Ego Esports,26.23,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-005,1,2024-03-09,Liquid AURA,Dewa United Esports,Dewa United Esports,17.4,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13 | https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-005,2,2024-03-09,Liquid AURA,Dewa United Esports,Dewa United Esports,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-006,1,2024-03-10,Fnatic ONIC,Geek Fam,Fnatic ONIC,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-006,2,2024-03-10,Fnatic ONIC,Geek Fam,Fnatic ONIC,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-007,1,2024-03-10,RRQ Hoshi,Liquid AURA,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-007,2,2024-03-10,RRQ Hoshi,Liquid AURA,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-007,3,2024-03-10,RRQ Hoshi,Liquid AURA,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-008,1,2024-03-10,Bigetron Alpha,EVOS Glory,Bigetron Alpha,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-008,2,2024-03-10,Bigetron Alpha,EVOS Glory,Bigetron Alpha,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-009,1,2024-03-15,Rebellion Esports,RRQ Hoshi,Rebellion Esports,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-009,2,2024-03-15,Rebellion Esports,RRQ Hoshi,Rebellion Esports,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-010,1,2024-03-15,EVOS Glory,Liquid AURA,Liquid AURA,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-010,2,2024-03-15,EVOS Glory,Liquid AURA,Liquid AURA,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-011,1,2024-03-16,Bigetron Alpha,Alter Ego Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-011,2,2024-03-16,Bigetron Alpha,Alter Ego Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-011,3,2024-03-16,Bigetron Alpha,Alter Ego Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-012,1,2024-03-16,RRQ Hoshi,Fnatic ONIC,Fnatic ONIC,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-012,2,2024-03-16,RRQ Hoshi,Fnatic ONIC,Fnatic ONIC,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-013,1,2024-03-16,EVOS Glory,Geek Fam,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-013,2,2024-03-16,EVOS Glory,Geek Fam,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-013,3,2024-03-16,EVOS Glory,Geek Fam,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-014,1,2024-03-17,Alter Ego Esports,Fnatic ONIC,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-014,2,2024-03-17,Alter Ego Esports,Fnatic ONIC,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-014,3,2024-03-17,Alter Ego Esports,Fnatic ONIC,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-015,1,2024-03-17,Dewa United Esports,Bigetron Alpha,Bigetron Alpha,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-015,2,2024-03-17,Dewa United Esports,Bigetron Alpha,Bigetron Alpha,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-016,1,2024-03-17,Liquid AURA,Rebellion Esports,Liquid AURA,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-016,2,2024-03-17,Liquid AURA,Rebellion Esports,Liquid AURA,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-017,1,2024-03-22,Fnatic ONIC,Liquid AURA,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-017,2,2024-03-22,Fnatic ONIC,Liquid AURA,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-017,3,2024-03-22,Fnatic ONIC,Liquid AURA,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-018,1,2024-03-22,EVOS Glory,Dewa United Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-018,2,2024-03-22,EVOS Glory,Dewa United Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-018,3,2024-03-22,EVOS Glory,Dewa United Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-019,1,2024-03-23,Liquid AURA,Bigetron Alpha,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-019,2,2024-03-23,Liquid AURA,Bigetron Alpha,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-019,3,2024-03-23,Liquid AURA,Bigetron Alpha,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-020,1,2024-03-23,RRQ Hoshi,EVOS Glory,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-020,2,2024-03-23,RRQ Hoshi,EVOS Glory,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-020,3,2024-03-23,RRQ Hoshi,EVOS Glory,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-021,1,2024-03-23,Geek Fam,Alter Ego Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-021,2,2024-03-23,Geek Fam,Alter Ego Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-021,3,2024-03-23,Geek Fam,Alter Ego Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-022,1,2024-03-24,Rebellion Esports,Fnatic ONIC,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-022,2,2024-03-24,Rebellion Esports,Fnatic ONIC,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-022,3,2024-03-24,Rebellion Esports,Fnatic ONIC,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-023,1,2024-03-24,Bigetron Alpha,RRQ Hoshi,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-023,2,2024-03-24,Bigetron Alpha,RRQ Hoshi,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-023,3,2024-03-24,Bigetron Alpha,RRQ Hoshi,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-024,1,2024-03-24,Dewa United Esports,Geek Fam,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-024,2,2024-03-24,Dewa United Esports,Geek Fam,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-024,3,2024-03-24,Dewa United Esports,Geek Fam,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-025,1,2024-03-29,Fnatic ONIC,Dewa United Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-025,2,2024-03-29,Fnatic ONIC,Dewa United Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-025,3,2024-03-29,Fnatic ONIC,Dewa United Esports,NULL,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-026,1,2024-03-29,Bigetron Alpha,Rebellion Esports,Bigetron Alpha,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-026,2,2024-03-29,Bigetron Alpha,Rebellion Esports,Bigetron Alpha,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-027,1,2024-03-30,Liquid AURA,Geek Fam,Liquid AURA,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
13,S13-RS-027,2,2024-03-30,Liquid AURA,Geek Fam,Liquid AURA,NULL,https://www.vcgamers.com/news/en/dont-miss-the-complete-mpl-id-season-13-schedule/ | https://id-mpl.com/s13/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_13
