season,team,player,role,stat_scope,snapshot_label,snapshot_date,ranking,games_played,win_rate_pct,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,avg_kda,kill_participation_pct,mvp_points,signature_hero,signature_hero_games,signature_hero_win_rate_pct,damage_taken_per_game,damage_taken_per_minute,coverage_status,source
13,Geek Fam,Caderaa,Gold Lane,top_total_kills,Top 5 Total Kills,2024-06-10,1,NULL,NULL,164,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,Fnatic ONIC,CW,Gold Lane,top_total_kills,Top 5 Total Kills,2024-06-10,2,NULL,NULL,163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,Bigetron Alpha,EMANN,Gold Lane,top_total_kills,Top 5 Total Kills,2024-06-10,3,NULL,NULL,163,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,RRQ Hoshi,Skylar,Gold Lane,top_total_kills,Top 5 Total Kills,2024-06-10,4,NULL,NULL,155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,Liquid AURA,Kabuki,Gold Lane,top_total_kills,Top 5 Total Kills,2024-06-10,5,NULL,NULL,154,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,Fnatic ONIC,Kiboy,Roamer,top_total_assists,Top 5 Total Assists,2024-06-10,1,NULL,NULL,NULL,NULL,NULL,NULL,412,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,Geek Fam,Baloyskie,Roamer,top_total_assists,Top 5 Total Assists,2024-06-10,2,NULL,NULL,NULL,NULL,NULL,NULL,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,Geek Fam,A B O Y,Mid Lane,top_total_assists,Top 5 Total Assists,2024-06-10,3,NULL,NULL,NULL,NULL,NULL,NULL,388,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,Fnatic ONIC,SANZ,Mid Lane,top_total_assists,Top 5 Total Assists,2024-06-10,4,NULL,NULL,NULL,NULL,NULL,NULL,376,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
13,Bigetron Alpha,KYY,Roamer,top_total_assists,Top 5 Total Assists,2024-06-10,5,NULL,NULL,NULL,NULL,NULL,NULL,336,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,top_5_published_leaderboard_only,https://zilbest.com/industry/mpl-id-season-13-statistics/
