season,match_id,game_number,team,action,order,hero,source
13,S13-RS-001,1,Alter Ego Esports,ban,1,Gusion,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,ban,2,Faramis,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,ban,3,Ruby,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,ban,4,Baxia,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,ban,5,Fredrinn,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,pick,1,Terizla,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,pick,2,Nolan,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,pick,3,Vexana,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,pick,4,Tigreal,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,Alter Ego Esports,pick,5,Harith,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,ban,1,Uranus,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,ban,2,Grock,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,ban,3,Arlott,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,ban,4,Cici,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,ban,5,Mathilda,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,pick,1,Phoveus,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,pick,2,Martis,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,pick,3,Novaria,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,pick,4,Minotaur,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,1,EVOS Glory,pick,5,Karrie,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
13,S13-RS-001,2,EVOS Glory,ban,1,Minotaur,https://www.kaggle.com/datasets/bcakra/tournamnet-result-match-of-mpl-indonesia-season-13/data?select=MPL+Indonesia+Season+13+-+BoxMatch.csv
