season,team,final_rank,champion,runner_up,source
15,ONIC,1,1,0,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
15,RRQ Hoshi,2,0,1,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
15,Geek Fam,3,0,0,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
15,Alter Ego Esports,4,0,0,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
15,Bigetron by Vitality,5-6,0,0,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
15,Team Liquid ID,5-6,0,0,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
15,EVOS,7,0,0,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
15,Dewa United Esports,8,0,0,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
15,NAVI,9,0,0,https://id-mpl.com/s15/en/history | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15 | https://escharts.com/tournaments/mobile-legends/mpl-indonesia-season-15
