season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
15,Regular Season,1,2025-03-07,S15-RS-001,NAVI,RRQ Hoshi,0,2,team_b,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/navi | https://id-mpl.com/s15/en/team/rrq | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,1,2025-03-07,S15-RS-002,EVOS,Team Liquid ID,2,1,team_a,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/evos | https://id-mpl.com/s15/en/team/tlid | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,1,2025-03-08,S15-RS-003,EVOS,Geek Fam,2,0,team_a,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/evos | https://id-mpl.com/s15/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,1,2025-03-08,S15-RS-004,Bigetron by Vitality,Alter Ego Esports,2,0,team_a,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/btr | https://id-mpl.com/s15/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,1,2025-03-08,S15-RS-005,RRQ Hoshi,ONIC,2,0,team_a,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/rrq | https://id-mpl.com/s15/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,1,2025-03-09,S15-RS-006,Dewa United Esports,Bigetron by Vitality,2,1,team_a,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/dewa | https://id-mpl.com/s15/en/team/btr | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,1,2025-03-09,S15-RS-007,Alter Ego Esports,ONIC,2,1,team_a,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/ae | https://id-mpl.com/s15/en/team/onic | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,1,2025-03-09,S15-RS-008,Team Liquid ID,NAVI,2,1,team_a,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/tlid | https://id-mpl.com/s15/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,2,2025-03-14,S15-RS-009,ONIC,Geek Fam,1,2,team_b,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/onic | https://id-mpl.com/s15/en/team/geek | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,2,2025-03-14,S15-RS-010,Dewa United Esports,NAVI,2,0,team_a,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/dewa | https://id-mpl.com/s15/en/team/navi | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
15,Regular Season,2,2025-03-15,S15-RS-011,NAVI,Alter Ego Esports,1,2,team_b,3,NULL,https://id-mpl.com/s15/en/history | https://id-mpl.com/s15/en/team/navi | https://id-mpl.com/s15/en/team/ae | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_15
