season,team_id,team_name,source
15,AE,Alter Ego Esports,https://id-mpl.com/s15/en/history
15,BTR,Bigetron by Vitality,https://id-mpl.com/s15/en/history
15,DEWA,Dewa United Esports,https://id-mpl.com/s15/en/history
15,EVOS,EVOS,https://id-mpl.com/s15/en/history
15,GEEK,Geek Fam,https://id-mpl.com/s15/en/history
15,NAVI,NAVI,https://id-mpl.com/s15/en/history
15,ONIC,ONIC,https://id-mpl.com/s15/en/history
15,RRQ,RRQ Hoshi,https://id-mpl.com/s15/en/history
15,TLID,Team Liquid ID,https://id-mpl.com/s15/en/history
