season,team,player,role,stat_scope,snapshot_label,snapshot_date,ranking,games_played,win_rate_pct,total_kills,avg_kills,total_deaths,avg_deaths,total_assists,avg_assists,avg_kda,kill_participation_pct,mvp_points,signature_hero,signature_hero_games,signature_hero_win_rate_pct,damage_taken_per_game,damage_taken_per_minute,coverage_status,source
4,ONIC Esports,Drian,All rounder,full_season_as_published,Official MPL career-history infographic after Season 9,2022-07-14,,38,45,60,,,,259,,4.8,,,,,,,,partial_players_official_infographic,https://www.hitekno.com/games/2022/07/14/172358/statistik-midlaner-di-mpl-indonesia-dari-evos-luminaire-hingga-rrq-clay
4,EVOS Legends,Luminaire,"Tank, Support",full_season_as_published,Official MPL career-history infographic after Season 9,2022-07-14,,41,78,75,,,,298,,4.8,,,,,,,,partial_players_official_infographic,https://www.hitekno.com/games/2022/07/14/172358/statistik-midlaner-di-mpl-indonesia-dari-evos-luminaire-hingga-rrq-clay
4,RRQ Hoshi,R7,Midlaner,full_season_as_published,Official MPL career-history infographic after Season 9,2022-07-19,,37,73,110,,,,,,4.6,,,,,,56257,,partial_players_official_infographic,https://www.suara.com/tekno/2022/07/19/160506/statistik-para-offlaner-di-mpl-indonesia-pemain-ini-cetak-kill-tinggi
4,ONIC Esports,Udil,Midlaner,full_season_as_published,Official MPL career-history infographic after Season 9,2022-07-14,,33,52,185,,,,170,,8,,,,,,,,partial_players_official_infographic,https://www.hitekno.com/games/2022/07/14/172358/statistik-midlaner-di-mpl-indonesia-dari-evos-luminaire-hingga-rrq-clay
