season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
MPL Indonesia Season 4,Regular Season,Week 1,2019-08-23,MPLID-S04-RS-001,Bigetron Esports,Alter Ego,2,0,Bigetron Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
MPL Indonesia Season 4,Regular Season,Week 1,2019-08-23,MPLID-S04-RS-002,AURA Fire,Genflix Aerowolf,2,1,AURA Fire,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,Regular Season,Week 1,2019-08-24,MPLID-S04-RS-003,ONIC Esports,RRQ Hoshi,2,0,ONIC Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/onic
MPL Indonesia Season 4,Regular Season,Week 1,2019-08-24,MPLID-S04-RS-004,EVOS Legends,Geek Fam ID,2,1,EVOS Legends,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,Regular Season,Week 1,2019-08-24,MPLID-S04-RS-005,Alter Ego,AURA Fire,0,2,AURA Fire,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/ae
MPL Indonesia Season 4,Regular Season,Week 1,2019-08-25,MPLID-S04-RS-006,Geek Fam ID,Bigetron Esports,1,2,Bigetron Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/geek
MPL Indonesia Season 4,Regular Season,Week 1,2019-08-25,MPLID-S04-RS-007,RRQ Hoshi,EVOS Legends,0,2,EVOS Legends,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/rrq
MPL Indonesia Season 4,Regular Season,Week 1,2019-08-25,MPLID-S04-RS-008,Genflix Aerowolf,ONIC Esports,0,2,ONIC Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,Regular Season,Week 2,2019-08-30,MPLID-S04-RS-009,EVOS Legends,Genflix Aerowolf,2,0,EVOS Legends,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,Regular Season,Week 2,2019-08-30,MPLID-S04-RS-010,ONIC Esports,Alter Ego,1,2,Alter Ego,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/onic
MPL Indonesia Season 4,Regular Season,Week 2,2019-08-31,MPLID-S04-RS-011,Bigetron Esports,AURA Fire,2,0,Bigetron Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
MPL Indonesia Season 4,Regular Season,Week 2,2019-08-31,MPLID-S04-RS-012,Geek Fam ID,RRQ Hoshi,1,2,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/geek
MPL Indonesia Season 4,Regular Season,Week 2,2019-09-01,MPLID-S04-RS-013,AURA Fire,ONIC Esports,2,0,AURA Fire,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/onic
MPL Indonesia Season 4,Regular Season,Week 2,2019-09-01,MPLID-S04-RS-014,Genflix Aerowolf,Geek Fam ID,0,2,Geek Fam ID,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,Regular Season,Week 2,2019-09-01,MPLID-S04-RS-015,Alter Ego,EVOS Legends,2,1,Alter Ego,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/ae
MPL Indonesia Season 4,Regular Season,Week 3,2019-09-06,MPLID-S04-RS-016,RRQ Hoshi,Genflix Aerowolf,2,1,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/rrq
MPL Indonesia Season 4,Regular Season,Week 3,2019-09-06,MPLID-S04-RS-017,EVOS Legends,AURA Fire,0,2,AURA Fire,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,Regular Season,Week 3,2019-09-07,MPLID-S04-RS-018,Geek Fam ID,Alter Ego,0,2,Alter Ego,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/geek
MPL Indonesia Season 4,Regular Season,Week 3,2019-09-07,MPLID-S04-RS-019,Bigetron Esports,ONIC Esports,0,2,ONIC Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
MPL Indonesia Season 4,Regular Season,Week 3,2019-09-08,MPLID-S04-RS-020,AURA Fire,Geek Fam ID,2,1,AURA Fire,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/geek
MPL Indonesia Season 4,Regular Season,Week 3,2019-09-08,MPLID-S04-RS-021,Alter Ego,RRQ Hoshi,1,2,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/ae
MPL Indonesia Season 4,Regular Season,Week 3,2019-09-08,MPLID-S04-RS-022,Genflix Aerowolf,Bigetron Esports,1,2,Bigetron Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,Regular Season,Week 4,2019-09-13,MPLID-S04-RS-023,Geek Fam ID,ONIC Esports,0,2,ONIC Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/geek
MPL Indonesia Season 4,Regular Season,Week 4,2019-09-13,MPLID-S04-RS-024,Bigetron Esports,EVOS Legends,0,2,EVOS Legends,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
MPL Indonesia Season 4,Regular Season,Week 4,2019-09-14,MPLID-S04-RS-025,RRQ Hoshi,AURA Fire,2,1,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/rrq
MPL Indonesia Season 4,Regular Season,Week 4,2019-09-14,MPLID-S04-RS-026,Genflix Aerowolf,Alter Ego,0,2,Alter Ego,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,Regular Season,Week 4,2019-09-15,MPLID-S04-RS-027,RRQ Hoshi,Bigetron Esports,2,1,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/rrq
MPL Indonesia Season 4,Regular Season,Week 4,2019-09-15,MPLID-S04-RS-028,ONIC Esports,EVOS Legends,0,2,EVOS Legends,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/onic
MPL Indonesia Season 4,Regular Season,Week 5,2019-09-20,MPLID-S04-RS-029,RRQ Hoshi,Alter Ego,2,0,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/rrq
MPL Indonesia Season 4,Regular Season,Week 5,2019-09-20,MPLID-S04-RS-030,EVOS Legends,ONIC Esports,2,0,EVOS Legends,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,Regular Season,Week 5,2019-09-21,MPLID-S04-RS-031,AURA Fire,RRQ Hoshi,0,2,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/rrq
MPL Indonesia Season 4,Regular Season,Week 5,2019-09-21,MPLID-S04-RS-032,ONIC Esports,Geek Fam ID,2,0,ONIC Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/onic
MPL Indonesia Season 4,Regular Season,Week 5,2019-09-22,MPLID-S04-RS-033,EVOS Legends,Bigetron Esports,2,0,EVOS Legends,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,Regular Season,Week 5,2019-09-22,MPLID-S04-RS-034,Alter Ego,Genflix Aerowolf,2,1,Alter Ego,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/ae
MPL Indonesia Season 4,Regular Season,Week 6,2019-09-27,MPLID-S04-RS-035,Bigetron Esports,Genflix Aerowolf,1,2,Genflix Aerowolf,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
MPL Indonesia Season 4,Regular Season,Week 6,2019-09-27,MPLID-S04-RS-036,Geek Fam ID,AURA Fire,0,2,AURA Fire,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/geek
MPL Indonesia Season 4,Regular Season,Week 6,2019-09-28,MPLID-S04-RS-037,Genflix Aerowolf,EVOS Legends,1,2,EVOS Legends,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/gflx
MPL Indonesia Season 4,Regular Season,Week 6,2019-09-28,MPLID-S04-RS-038,Alter Ego,ONIC Esports,2,1,Alter Ego,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/ae
MPL Indonesia Season 4,Regular Season,Week 6,2019-09-29,MPLID-S04-RS-039,AURA Fire,Bigetron Esports,0,2,Bigetron Esports,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
MPL Indonesia Season 4,Regular Season,Week 6,2019-09-29,MPLID-S04-RS-040,RRQ Hoshi,Geek Fam ID,2,0,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/rrq
MPL Indonesia Season 4,Regular Season,Week 6,2019-09-29,MPLID-S04-RS-041,EVOS Legends,Alter Ego,0,2,Alter Ego,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/evos
MPL Indonesia Season 4,Regular Season,Week 7,2019-10-04,MPLID-S04-RS-042,ONIC Esports,AURA Fire,0,2,AURA Fire,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/onic
MPL Indonesia Season 4,Regular Season,Week 7,2019-10-04,MPLID-S04-RS-043,Geek Fam ID,Genflix Aerowolf,2,0,Geek Fam ID,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/geek
MPL Indonesia Season 4,Regular Season,Week 7,2019-10-05,MPLID-S04-RS-044,Bigetron Esports,RRQ Hoshi,0,2,RRQ Hoshi,3,Double Round Robin,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_4/Regular_Season | https://id-mpl.com/s4/team/btr
