season,team,final_rank,champion,runner_up,source
3,ONIC Esports,1,1,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,Louvre Esports,2,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,Aerowolf Roxy,3,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,SFI Critical,4,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,Bigetron Esports,5-6,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,Alter Ego,5-6,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,EVOS Esports,7-8,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,PSG.RRQ,7-8,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,AURA Esports,9-12,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,The Prime,9-12,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,Star8 Esports,9-12,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
3,Saints Indo,9-12,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_3
