season,team,player,role,status,source
3,ONIC Esports,Antimage,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,ONIC Esports,AzeR,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,ONIC Esports,Drian,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,ONIC Esports,Psychoo,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,ONIC Esports,Sasa,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,ONIC Esports,Udil,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Louvre Esports,Badboy,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Louvre Esports,JeeL,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Louvre Esports,Kido,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Louvre Esports,Marsha,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Louvre Esports,Watt,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Louvre Esports,YoR,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Aerowolf Roxy,Auzora,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Aerowolf Roxy,Ichsan,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Aerowolf Roxy,LJ,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Aerowolf Roxy,MidGod,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Aerowolf Roxy,Rave,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,Aerowolf Roxy,Trust,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
3,SFI Critical,Babywww,NULL,NULL,https://api.esportsearnings.com/tournaments/53509-mpl-indonesia-season-3
