season,match_id,game_number,date,team_a,team_b,winner,duration_minutes,source
11,S11-RS-001,1,2023-02-17,AURA Fire,Rebellion Zion,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/
11,S11-RS-001,2,2023-02-17,AURA Fire,Rebellion Zion,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/
11,S11-RS-001,3,2023-02-17,AURA Fire,Rebellion Zion,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/
11,S11-RS-002,1,2023-02-17,RRQ Hoshi,Bigetron Alpha,RRQ Hoshi,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/rrq
11,S11-RS-002,2,2023-02-17,RRQ Hoshi,Bigetron Alpha,RRQ Hoshi,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/rrq
11,S11-RS-003,1,2023-02-17,Geek Slate,ONIC Esports,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,S11-RS-003,2,2023-02-17,Geek Slate,ONIC Esports,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,S11-RS-003,3,2023-02-17,Geek Slate,ONIC Esports,NULL,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,S11-RS-004,1,2023-02-18,Alter Ego,RRQ Hoshi,RRQ Hoshi,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,S11-RS-004,2,2023-02-18,Alter Ego,RRQ Hoshi,RRQ Hoshi,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
