season,team,final_rank,champion,runner_up,source
11,ONIC Esports,1,1,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Playoffs
11,EVOS Legends,2,0,1,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Playoffs
11,Alter Ego,3,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Playoffs
11,RRQ Hoshi,4,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Playoffs
11,Bigetron Alpha,5-6,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Playoffs
11,Geek Slate,5-6,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Playoffs
11,Rebellion Zion,7,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Playoffs
11,AURA Fire,8,0,0,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11 | https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Playoffs
