season,match_id,game_number,team,action,order,hero,source
11,S11-RS-001,1,AURA Fire,ban,1,Wanwan,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,ban,2,Joy,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,ban,3,Yve,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,ban,4,Ruby,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,ban,5,Hayabusa,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,pick,1,Paquito,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,pick,2,Fredrinn,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,pick,3,Valentina,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,pick,4,Claude,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,AURA Fire,pick,5,Chou,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,Rebellion Zion,ban,1,Lolita,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,Rebellion Zion,ban,2,Ling,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
11,S11-RS-001,1,Rebellion Zion,ban,3,Faramis,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://github.com/LiTianYeoh/MLBB_Tournament_Analysis/blob/94ea36800e80c9e89a2356a0b81d3eeafbd6a4f7/analysis/data/consolidated_game_data_20240505.csv
