season,stage,week,date,match_id,team_a,team_b,team_a_score,team_b_score,winner,best_of,round,source
11,Regular Season,1,2023-02-17,S11-RS-001,AURA Fire,Rebellion Zion,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/
11,Regular Season,1,2023-02-17,S11-RS-002,RRQ Hoshi,Bigetron Alpha,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/rrq
11,Regular Season,1,2023-02-17,S11-RS-003,Geek Slate,ONIC Esports,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,Regular Season,1,2023-02-18,S11-RS-004,Alter Ego,RRQ Hoshi,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,Regular Season,1,2023-02-18,S11-RS-005,AURA Fire,Geek Slate,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,Regular Season,1,2023-02-18,S11-RS-006,Rebellion Zion,EVOS Legends,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/evos
11,Regular Season,1,2023-02-18,S11-RS-007,Bigetron Alpha,ONIC Esports,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/btr
11,Regular Season,1,2023-02-19,S11-RS-008,EVOS Legends,Alter Ego,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/evos
11,Regular Season,1,2023-02-19,S11-RS-009,Bigetron Alpha,AURA Fire,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/btr
11,Regular Season,2,2023-02-24,S11-RS-010,EVOS Legends,Geek Slate,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/evos
11,Regular Season,2,2023-02-24,S11-RS-011,ONIC Esports,RRQ Hoshi,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/onic
11,Regular Season,2,2023-02-24,S11-RS-012,Alter Ego,Rebellion Zion,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,Regular Season,2,2023-02-25,S11-RS-013,RRQ Hoshi,AURA Fire,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/rrq
11,Regular Season,2,2023-02-25,S11-RS-014,ONIC Esports,Alter Ego,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/onic
11,Regular Season,2,2023-02-25,S11-RS-015,EVOS Legends,Bigetron Alpha,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/evos
11,Regular Season,2,2023-02-25,S11-RS-016,Geek Slate,Rebellion Zion,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,Regular Season,2,2023-02-26,S11-RS-017,AURA Fire,ONIC Esports,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/onic
11,Regular Season,2,2023-02-26,S11-RS-018,RRQ Hoshi,EVOS Legends,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/rrq
11,Regular Season,3,2023-03-03,S11-RS-019,Geek Slate,Alter Ego,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,Regular Season,3,2023-03-03,S11-RS-020,Rebellion Zion,Bigetron Alpha,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/btr
11,Regular Season,3,2023-03-03,S11-RS-021,EVOS Legends,AURA Fire,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/evos
11,Regular Season,3,2023-03-04,S11-RS-022,Bigetron Alpha,Geek Slate,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/btr
11,Regular Season,3,2023-03-04,S11-RS-023,Rebellion Zion,RRQ Hoshi,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/rrq
11,Regular Season,3,2023-03-04,S11-RS-024,Alter Ego,AURA Fire,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,Regular Season,3,2023-03-04,S11-RS-025,ONIC Esports,EVOS Legends,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/onic
11,Regular Season,3,2023-03-05,S11-RS-026,Alter Ego,Bigetron Alpha,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,Regular Season,3,2023-03-05,S11-RS-027,ONIC Esports,Rebellion Zion,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/onic
11,Regular Season,4,2023-03-10,S11-RS-028,Geek Slate,RRQ Hoshi,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,Regular Season,4,2023-03-10,S11-RS-029,Alter Ego,EVOS Legends,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,Regular Season,4,2023-03-10,S11-RS-030,Rebellion Zion,AURA Fire,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/
11,Regular Season,4,2023-03-11,S11-RS-031,RRQ Hoshi,Alter Ego,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/rrq
11,Regular Season,4,2023-03-11,S11-RS-032,Geek Slate,AURA Fire,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,Regular Season,4,2023-03-11,S11-RS-033,ONIC Esports,Bigetron Alpha,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/onic
11,Regular Season,4,2023-03-11,S11-RS-034,EVOS Legends,Rebellion Zion,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/evos
11,Regular Season,4,2023-03-12,S11-RS-035,ONIC Esports,Geek Slate,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/onic
11,Regular Season,4,2023-03-12,S11-RS-036,Bigetron Alpha,RRQ Hoshi,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/btr
11,Regular Season,5,2023-03-17,S11-RS-037,Geek Slate,EVOS Legends,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,Regular Season,5,2023-03-17,S11-RS-038,AURA Fire,Bigetron Alpha,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/btr
11,Regular Season,5,2023-03-17,S11-RS-039,RRQ Hoshi,ONIC Esports,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/rrq
11,Regular Season,5,2023-03-18,S11-RS-040,Bigetron Alpha,EVOS Legends,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/btr
11,Regular Season,5,2023-03-18,S11-RS-041,Alter Ego,ONIC Esports,0,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,Regular Season,5,2023-03-18,S11-RS-042,Rebellion Zion,Geek Slate,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/geek
11,Regular Season,5,2023-03-19,S11-RS-043,Rebellion Zion,Alter Ego,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,Regular Season,5,2023-03-19,S11-RS-044,ONIC Esports,AURA Fire,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/onic
11,Regular Season,6,2023-03-23,S11-RS-045,EVOS Legends,RRQ Hoshi,1,2,team_b,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/evos
11,Regular Season,6,2023-03-23,S11-RS-046,Alter Ego,Geek Slate,2,1,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/ae
11,Regular Season,6,2023-03-24,S11-RS-047,Bigetron Alpha,Rebellion Zion,2,0,team_a,3,NULL,https://liquipedia.net/mobilelegends/MPL/Indonesia/Season_11/Regular_Season | https://www.oneesports.gg/mobile-legends/mpl-id-season-11-schedule-results/ | https://id-mpl.com/s11/team/btr
